;file_name,rss_kb,price_max,time_microseconds
input01.in,58344,31621,132
input02.in,58352,67829,193
input03.in,58348,143449,259
input04.in,58392,28840,287
input05.in,58128,15785,293
input06.in,58156,99861,405
input07.in,58396,1922,651
input08.in,58188,714,696
input09.in,58192,9717,887
input10.in,58396,18361,296
input11.in,58388,29996,281
input12.in,58396,49885,16143
input13.in,58396,49397,8677
input14.in,58388,20880,7791
input15.in,58396,20676,1598
input16.in,58388,46281,1687
