;file_name,rss_kb,price_max,time_microseconds
input01.in,58232,29636,11
input02.in,58236,64939,16
input03.in,58240,143449,19
input04.in,58272,28840,22
input05.in,58272,15785,35
input06.in,58272,99861,67
input07.in,58276,1894,98
input08.in,58280,714,133
input09.in,58280,9717,168
input10.in,58284,17523,39
input11.in,58280,29996,29
input12.in,58280,49884,4210
input13.in,58284,49395,1731
input14.in,58280,20880,1738
input15.in,58284,20676,289
input16.in,58280,46218,399
